Genere Anni Matematica Italiano Logica Test Totale CDL 
M 19 16.04 19.59 17.37 53 62 "MARKETING E GEST. IMPRESE"
M 19 23.57 19.15 10.28 53 62 ECONOMIA
F 19 20.03 24.01 20.47 64.51 75 "COMMERCIO ESTERO"
F 19 12.93 16.04 16.04 45.01 78 "COMMERCIO ESTERO"
F 19 20.03 16.48 12.49 49 79 "ECONOMIA E FINANZA"
F 20 3.19 -5.68 0.47 -2.03 37.588 "MARKETING E GEST. IMPRESE"
F 20 5.35 4.05 1.84 11.24 40.496 "MARKETING E GEST. IMPRESE"
F 19 7.59 1.81 2.27 11.67 40.668 "ECONOMIA GEST. SERV. TURISTICI"
M 21 9.36 0 3.12 12.48 40.992 "ECONOMIA E FINANZA"
M 20 8.95 4.96 -3.47 10.44 42.576 "ECONOMIA E FINANZA"
M 19 11.16 -0.81 6.72 17.07 42.828 "ECONOMIA AZIENDALE"
M 19 8.95 5.37 4.07 18.39 43.356 "ECONOMIA E FINANZA"
F 39 0 8.49 3.15 11.64 43.656 "CONSULENZA AZ.LE E GIURIDICA"
M 19 0.89 11.15 7.15 19.19 43.676 "MARKETING E GEST. IMPRESE"
M 21 0.48 3.6 9.39 13.47 43.788 "MARKETING E GEST. IMPRESE"
F 19 12.48 0.89 3.16 16.53 43.812 "MARKETING E GEST. IMPRESE"
F 19 0 7.59 0 7.59 43.836 ECONOMIA
M 20 4.92 2.69 4.51 12.12 44.448 "MARKETING E GEST. IMPRESE"
F 30 11.13 1.36 10.27 22.76 45.104 "MARKETING E GEST. IMPRESE"
F 19 5.35 3.16 5.37 13.88 45.152 "ECONOMIA AZIENDALE"
M 19 7.17 7.16 5.84 20.17 45.268 "ECONOMIA E FINANZA"
F 19 3.19 10.28 8.51 21.97 45.988 "MARKETING E GEST. IMPRESE"
M 20 8.49 7.61 9.39 25.49 46.196 "MARKETING E GEST. IMPRESE"
M 19 13.83 6.73 4.96 25.52 46.208 "MARKETING E GEST. IMPRESE"
M 22 4.96 13.83 6.73 25.52 46.208 ECONOMIA
M 20 6.27 13.37 3.57 23.21 46.484 "ECONOMIA AZIENDALE"
M 19 4.92 3.16 10.69 18.77 46.508 "AMMINISTRAZIONE E CONTROLLO"
F 19 0.03 8.93 5.4 14.36 46.544 "ECONOMIA GEST. SERV. TURISTICI"
M 21 6.73 13.83 0.08 20.64 46.656 "ECONOMIA E FINANZA"
M 19 12.47 4.91 9.35 26.72 46.688 "MARKETING E GEST. IMPRESE"
F 21 16.03 2.24 9.81 28.08 47.232 "MARKETING E GEST. IMPRESE"
F 19 10.25 16.03 1.83 28.11 47.244 ECONOMIA
